_________,____________,____________,________ (__),zone Rating,_______ (USD)
50.3,5,2,8,1,206042
50.9,2,1,21,1,179398
53.4,3,1,10,1,187509
56.4,5,3,8,1,242866
56.6,1,3,16,1,158455
59.4,2,2,4,1,158857
61.9,5,1,6,1,224507
62.5,3,1,19,1,185570
63,3,3,29,1,173875
64.3,5,1,17,1,213398
66,1,1,10,1,203447
69.7,2,3,11,1,216592
70,1,2,26,1,199066
70.1,5,1,17,1,246718
72.3,2,3,6,1,236865
73.5,5,1,24,1,238459
74.1,2,3,29,1,188531
74.2,1,2,24,1,181191
75.3,4,1,11,1,252963
75.5,4,1,9,1,239235
76,2,1,15,1,211509
76.2,2,3,4,1,237071
78,2,1,18,1,217462
82,4,1,8,1,236054
83.5,5,3,23,2,294548
84.5,1,1,25,1,222673
86.2,2,1,14,1,234763
86.4,5,3,14,1,250123
89.1,2,2,24,1,209633
89.5,1,3,5,1,235478
91.2,4,1,18,1,233505
95.5,3,1,11,1,267185
96.7,3,2,20,1,240302
97.4,4,1,20,1,280962
100.2,4,2,26,2,307102
102.3,4,1,29,2,287822
102.4,5,2,28,2,323701
102.5,4,3,7,1,282660
103.9,4,2,19,2,322313
110,5,3,8,2,318266
111.6,4,2,26,1,268244
113.8,2,3,4,2,315357
114.5,1,3,18,1,275063
114.6,3,1,28,1,281313
116.6,5,2,18,2,319601
118.8,5,3,6,2,342365
119.8,3,2,14,2,346153
119.8,1,3,24,2,334276
120.9,5,3,15,2,368327
121.3,1,3,9,2,305027
121.3,1,2,22,1,269666
122.3,2,3,9,2,307117
126.9,2,2,20,2,335333
127.5,5,3,20,2,354189
132.7,1,2,10,2,312914
133.2,4,1,20,2,317781
134.6,4,2,8,2,351280
135.4,2,3,18,2,370261
137.2,4,2,11,2,377431
137.8,4,2,4,2,384461
139.9,2,2,23,2,310271
140.1,1,1,14,2,321278
144.6,1,2,16,2,316283
145.4,4,3,24,3,402213
145.4,4,1,16,2,369855
145.9,1,3,22,2,370992
147.5,2,3,12,2,370167
148.4,5,1,16,2,360373
148.9,4,2,17,2,347769
149.2,4,1,12,2,366272
151.2,3,2,23,2,389645
151.6,2,3,9,2,397346
152.1,2,3,13,2,377511
155.9,1,1,23,2,364659
156,1,1,27,2,359658
156.2,1,1,23,2,370690
157.7,5,1,28,2,370970
163.9,2,2,18,2,395042
164.5,1,1,24,2,368670
165,5,2,4,3,474046
165.4,5,2,5,3,417416
165.5,2,3,29,2,396277
166.6,3,3,17,3,412046
168.4,5,3,28,3,467629
169.1,4,3,15,3,427302
170.5,5,1,23,3,400307
171.4,2,3,18,3,431423
174.3,4,3,18,3,435501
174.3,1,3,5,2,381738
174.8,4,1,24,2,394409
175.2,3,2,17,3,432825
175.4,2,2,28,2,398823
176.7,5,3,17,3,432358
177.6,4,3,20,3,468699
177.9,5,3,10,3,480192
180,2,2,22,3,443408
180.6,1,2,25,3,420203
181.1,4,2,11,3,436325
181.4,2,2,24,3,405941
181.8,2,1,18,3,441001
182.4,2,1,9,3,427947
183.1,4,3,16,3,432688
183.2,4,3,19,3,432387
185.3,2,3,6,3,471817
186.9,5,1,6,4,510877
188.7,2,1,12,3,439793
189.6,5,1,23,3,418889
197.8,4,2,27,3,485381
199.5,4,1,26,3,492018
200,3,1,18,3,485622
200,2,2,22,3,448880
201.6,1,1,5,3,450595
202.7,5,3,24,4,539478
203.1,2,3,13,3,496841
205.5,1,3,15,3,460741
207,3,3,14,4,525582
207.1,4,1,27,4,508941
207.4,2,3,16,3,473734
210.5,3,1,5,3,472292
211.9,2,1,19,3,468251
212.5,2,1,14,4,514184
213.6,4,3,5,4,551859
213.9,1,1,27,3,422951
214.5,4,1,17,4,524819
214.6,5,2,28,4,510968
216.3,2,1,7,4,521206
216.4,2,2,21,3,483350
217.8,1,2,13,3,480961
218,2,3,7,4,507968
219.6,3,2,17,3,485376
222.4,4,3,9,4,518166
223.3,5,3,16,4,573798
223.3,4,3,20,4,525761
225.3,3,2,14,4,551445
225.7,3,1,24,3,496427
225.9,1,2,9,4,509734
229.2,1,2,26,4,512735
230.6,1,2,12,4,530824
231,5,1,15,4,523323
231.6,3,3,27,4,570289
